"mcmc_case_id","case_id","scenario_id","source_model_id","model_id","display_label","likelihood_family","fit_structure","window","rows","raw_crossing_pairs","contract_crossing_pairs","raw_crossing_opportunities","raw_crossing_rate","mean_abs_monotone_adjustment","max_abs_monotone_adjustment","coherence_status"
"regime_shift__exqdesn_rhs_independent","regime_shift__exqdesn_rhs_independent","regime_shift","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","fit",500,0,0,3000,0,6.00231669922735e-17,8.88178419700125e-16,"review"
"regime_shift__exqdesn_rhs_independent","regime_shift__exqdesn_rhs_independent","regime_shift","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","forecast",990,0,0,5940,0,6.03962877385342e-17,8.88178419700125e-16,"review"
"student_t_location_scale__joint_qdesn_rhs","student_t_location_scale__joint_qdesn_rhs","student_t_location_scale","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","fit",500,0,0,3000,0,6.8899251383568e-17,8.88178419700125e-16,"review"
"student_t_location_scale__joint_qdesn_rhs","student_t_location_scale__joint_qdesn_rhs","student_t_location_scale","joint_qdesn_rhs_vb","joint_qdesn_rhs_mcmc","Joint QDESN, AL, RHS","AL","joint","forecast",990,0,0,5940,0,7.53866265548593e-17,1.33226762955019e-15,"review"
"student_t_location_scale__qdesn_rhs_independent","student_t_location_scale__qdesn_rhs_independent","student_t_location_scale","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","fit",500,7,0,3000,0.00233333333333333,0.00010793651099745,0.0592620443646399,"review"
"student_t_location_scale__qdesn_rhs_independent","student_t_location_scale__qdesn_rhs_independent","student_t_location_scale","qdesn_rhs_independent_vb","qdesn_rhs_independent_mcmc","Independent QDESN, AL, RHS","AL","independent","forecast",990,4,0,5940,0.000673400673400673,1.90410594552933e-05,0.0233279432230378,"review"
"student_t_location_scale__joint_exqdesn_rhs","student_t_location_scale__joint_exqdesn_rhs","student_t_location_scale","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","fit",500,0,0,3000,0,7.1860176539421e-17,1.77635683940025e-15,"review"
"student_t_location_scale__joint_exqdesn_rhs","student_t_location_scale__joint_exqdesn_rhs","student_t_location_scale","joint_exqdesn_rhs_vb","joint_exqdesn_rhs_mcmc","Joint exQDESN, exAL, RHS","exAL","joint","forecast",990,0,0,5940,0,7.28904270595577e-17,1.77635683940025e-15,"review"
"student_t_location_scale__exqdesn_rhs_independent","student_t_location_scale__exqdesn_rhs_independent","student_t_location_scale","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","fit",500,0,0,3000,0,6.95336645404966e-17,8.88178419700125e-16,"review"
"student_t_location_scale__exqdesn_rhs_independent","student_t_location_scale__exqdesn_rhs_independent","student_t_location_scale","exqdesn_rhs_independent_vb","exqdesn_rhs_independent_mcmc","Independent exQDESN, exAL, RHS","exAL","independent","forecast",990,0,0,5940,0,7.27177056745037e-17,8.88178419700125e-16,"review"
