"iteration","step","elapsed_seconds","fit_id","model_id","quantile_level","likelihood_family","coefficient_prior","source_run_id"
9,"future_update",5.15000000000009,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
9,"row_moments",105.445,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
9,"v_update",0.00500000000010914,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
9,"sigma_update",0.00199999999995271,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
9,"prior_update",0.00500000000010914,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
9,"objective",0.00199999999995271,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
10,"theta_update",48.5060000000001,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
10,"future_update",5.12599999999998,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
10,"row_moments",105.424,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
10,"v_update",0.00500000000010914,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
10,"sigma_update",0.00199999999995271,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
10,"prior_update",0.00399999999990541,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
10,"objective",0.00200000000018008,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
11,"theta_update",48.9759999999999,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
11,"future_update",5.14699999999993,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
11,"row_moments",105.253,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
11,"v_update",0.00400000000013279,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
11,"sigma_update",0.00199999999995271,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
11,"prior_update",0.00500000000010914,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
11,"objective",0.00199999999995271,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
12,"theta_update",48.098,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
12,"future_update",5.10799999999995,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
12,"row_moments",105.42,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
12,"v_update",0.00500000000010914,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
12,"sigma_update",0.00199999999995271,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
12,"prior_update",0.00399999999990541,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
12,"objective",0.00199999999995271,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
13,"theta_update",48.518,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
13,"future_update",5.12100000000009,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
13,"row_moments",108.612,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
13,"v_update",0.00499999999965439,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
13,"sigma_update",0.00300000000015643,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
13,"prior_update",0.00500000000010914,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
13,"objective",0.00199999999995271,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
14,"theta_update",50.942,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
14,"future_update",5.35200000000032,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
14,"row_moments",111.576,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
14,"v_update",0.00500000000010914,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
14,"sigma_update",0.00200000000040745,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
14,"prior_update",0.00399999999990541,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
14,"objective",0.00199999999995271,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
15,"theta_update",50.6959999999999,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
15,"future_update",5.33699999999999,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
15,"row_moments",111.951,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
15,"v_update",0.00500000000010914,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
15,"sigma_update",0.00299999999970169,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
15,"prior_update",0.00500000000010914,"qdesn_transition_full7_fr09_persistence_innovation_p05","qdesn_transition_full7_fr09_persistence_innovation_p05",0.05,"al","rhs_ns","glofas_fit_recovery_transition_full7_20260808_fr09_persistence_innovation_p05"
