"scenario_id","source_model_id","likelihood_family","fit_structure","metric_window","metric_role","metric_label","posterior_mean","posterior_median","posterior_q025","posterior_q975","n_draws","n_chains","draws_per_chain","point_reference_value","canonical_metric_value","canonical_raw_crossing_pairs","canonical_rearranged_crossing_pairs","crossing_opportunities_per_scenario","primary_pairing_seed","packet_manifest_sha256","fixture_manifest_sha256","model_label","scenario_label"
"asymmetric_laplace_tail","joint_exqdesn_rhs_vb","exAL","joint","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.316348003482585,0.316040803597745,0.314344204879885,0.320005869295222,8000,8,1000,0.312663877185881,0.31454747586113,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint exQDESN (exAL--RHS)","Asymmetric-Laplace tail"
"asymmetric_laplace_tail","exqdesn_rhs_independent_vb","exAL","independent","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.316773301926372,0.316503763176432,0.31471287703234,0.320508045264169,8000,8,1000,0.312663877185881,0.314347866371965,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent exQDESN (exAL--RHS)","Asymmetric-Laplace tail"
"gaussian_mixture_bridge","joint_qdesn_rhs_vb","AL","joint","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.386577008170869,0.3864439344484,0.384251097862306,0.389707726203323,8000,8,1000,0.3811493656626,0.384701117174211,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint Q--DESN (AL--RHS)","Gaussian-mixture innovations"
"gaussian_mixture_bridge","qdesn_rhs_independent_vb","AL","independent","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.386544806770438,0.386389140725838,0.384366979552608,0.389491857706858,8000,8,1000,0.3811493656626,0.384315392931433,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent Q--DESN (AL--RHS)","Gaussian-mixture innovations"
"gaussian_mixture_bridge","joint_exqdesn_rhs_vb","exAL","joint","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.386981891348286,0.386757294456638,0.384149561148936,0.391079756968141,8000,8,1000,0.3811493656626,0.384670153302515,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint exQDESN (exAL--RHS)","Gaussian-mixture innovations"
"gaussian_mixture_bridge","exqdesn_rhs_independent_vb","exAL","independent","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.387164532594699,0.386888251671638,0.384206899047435,0.391698906044769,8000,8,1000,0.3811493656626,0.383816350000674,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent exQDESN (exAL--RHS)","Gaussian-mixture innovations"
"laplace_bridge","joint_qdesn_rhs_vb","AL","joint","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.32201667323346,0.321788115402904,0.320358251040411,0.325157360756834,8000,8,1000,0.318365329945947,0.320380876438529,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint Q--DESN (AL--RHS)","Laplace innovations"
"laplace_bridge","qdesn_rhs_independent_vb","AL","independent","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.322807422002477,0.322686305957584,0.320972347955004,0.325311435493564,8000,8,1000,0.318365329945947,0.320960420141254,10,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent Q--DESN (AL--RHS)","Laplace innovations"
"laplace_bridge","joint_exqdesn_rhs_vb","exAL","joint","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.322037318840475,0.321788004530861,0.320134446811195,0.325421645185452,8000,8,1000,0.318365329945947,0.320206224044576,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint exQDESN (exAL--RHS)","Laplace innovations"
"laplace_bridge","exqdesn_rhs_independent_vb","exAL","independent","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.323118854220114,0.322704273326781,0.32059672380963,0.328177441894328,8000,8,1000,0.318365329945947,0.319866809285615,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent exQDESN (exAL--RHS)","Laplace innovations"
"nonlinear_reservoir_friendly","joint_qdesn_rhs_vb","AL","joint","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.427281355156127,0.427158770250065,0.424681131860797,0.430525625342171,8000,8,1000,0.420366510793236,0.425172383850454,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint Q--DESN (AL--RHS)","Nonlinear reservoir dynamics"
"nonlinear_reservoir_friendly","qdesn_rhs_independent_vb","AL","independent","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.428456530963533,0.428308106357084,0.425391239694707,0.432341094772905,8000,8,1000,0.420366510793236,0.425446739494555,1,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Independent Q--DESN (AL--RHS)","Nonlinear reservoir dynamics"
"nonlinear_reservoir_friendly","joint_exqdesn_rhs_vb","exAL","joint","forecast","dgp_integrated_acrps","Forecast DGP-integrated aCRPS",0.429313242968698,0.429080631063735,0.425765269687944,0.434221505413579,8000,8,1000,0.420366510793236,0.426929976849092,0,0,5940,17819001,"a96200a0dfdb0ad3506f99e737cce75b5f71d68c662a2ee1484376d44ebef624",,"Joint exQDESN (exAL--RHS)","Nonlinear reservoir dynamics"
