"date","q05","q15","q35","q50","q65","q80","q95","phase","cutoff_date"
2022-12-24,0.563420599856639,0.582464821344479,0.593193001220839,0.601456180665007,0.605272124574256,0.623510830350571,0.776648031261678,"Fitted history",2022-12-25
2022-12-25,0.542786011688573,0.559157911210421,0.573447863957941,0.577147295013362,0.580920795143427,0.595492266376502,0.730352828274224,"Fitted history",2022-12-25
2022-12-26,0.528441205312744,0.532527421233148,0.532527421233148,0.532527421233148,0.532527421233148,0.532527421233148,0.532527421233148,"Forecast",2022-12-25
2022-12-27,0.705311917979813,0.921086916965785,1.27158455932175,1.53119419651784,1.98869646433768,2.48687410994614,3.65374982932945,"Forecast",2022-12-25
2022-12-28,0.241945312933073,0.40788343012589,0.680273956493076,0.832870320970268,1.03897690987014,1.30495508249626,1.97379016266456,"Forecast",2022-12-25
2022-12-29,0.508737585107099,0.630094656588438,0.85963249497435,0.996192424902426,1.18602760987558,1.38493183835306,2.09604252996996,"Forecast",2022-12-25
2022-12-30,0.912466980749044,1.28721981288049,1.60767592589668,1.84434894194509,2.31685593487322,2.6498867916831,3.38338034026666,"Forecast",2022-12-25
2022-12-31,0.857895817529781,1.29179446095314,1.78145608143687,2.06718020336797,2.47596310350252,2.9275794549562,3.7380947161728,"Forecast",2022-12-25
2023-01-01,0.761971830887453,1.14399680006172,1.7931591942357,2.14343517686995,2.62762635310415,3.06793406902056,3.91163081949637,"Forecast",2022-12-25
2023-01-02,0.313952845410697,0.558154568771432,1.01003895848744,1.16716281007902,1.28873286802855,1.53478748967881,2.47611489173055,"Forecast",2022-12-25
2023-01-03,1.07121523648406,1.44392625254653,1.90767193406956,2.15966864536099,2.47105116801923,2.74961511909609,3.6291927315116,"Forecast",2022-12-25
2023-01-04,1.22119947569562,1.62768053473143,2.02918605336749,2.19339794157996,2.47628144936962,2.69407831477502,3.00123057728117,"Forecast",2022-12-25
2023-01-05,1.42482002439123,1.83232240204187,2.32355699592883,2.58243471046435,2.96377352494202,3.42025660202859,4.28479355374357,"Forecast",2022-12-25
2023-01-06,1.19352528956798,1.73073621014441,2.23291336318783,2.47944086075078,2.8888043418137,3.42416349170865,4.04897875986826,"Forecast",2022-12-25
2023-01-07,0.864542911278561,1.23757102988596,1.56569714375338,1.74111066149683,1.86192288942978,2.19181885571979,2.65718877036943,"Forecast",2022-12-25
2023-01-08,1.30461101393534,1.80192631810412,2.24634139826374,2.57956129550187,2.99939700343048,3.35077082404872,4.29823674375585,"Forecast",2022-12-25
2023-01-09,1.11930736475471,1.63371568018535,2.12253319881996,2.41348447726675,2.86863057270118,3.16813653824193,3.78869735100372,"Forecast",2022-12-25
2023-01-10,0.850629920803684,1.39924996476731,1.85633333920262,2.17623899205509,2.50762412480294,2.79064569736132,3.50792320258977,"Forecast",2022-12-25
2023-01-11,0.845927119796104,1.4488839552239,1.83949168116688,2.0860819386026,2.30285693484164,2.50251282449182,3.00817594175004,"Forecast",2022-12-25
2023-01-12,0.997656184232338,1.66333190953547,2.15398821112103,2.37511780080383,2.6021796313955,2.95261595746442,3.63783399337813,"Forecast",2022-12-25
2023-01-13,0.836931825696849,1.44524238574824,1.80099679134827,1.98977111610266,2.08118972303917,2.32317575537256,2.8258235550607,"Forecast",2022-12-25
2023-01-14,1.29317575324134,1.70449462858516,2.18101079886828,2.46889994537584,2.78409291016761,3.14143789010401,4.05083724892587,"Forecast",2022-12-25
2023-01-15,1.02922384585888,1.47710587014743,2.02540589867053,2.32218800901444,2.78786129687756,3.2138787387255,4.13687805804964,"Forecast",2022-12-25
2023-01-16,0.645918012230444,1.0428946760034,1.67558278619249,1.9804040173821,2.37617307396925,2.81831935124516,3.89374127283449,"Forecast",2022-12-25
2023-01-17,0.401957370211239,0.74178675070213,1.1765230715125,1.40930292191393,1.64638278811863,2.01331278600092,2.6789150302724,"Forecast",2022-12-25
2023-01-18,0.705554772483705,1.06105469012698,1.44844253882385,1.67684275345443,1.8782209704126,2.22057627777419,2.85546046073739,"Forecast",2022-12-25
2023-01-19,0.86700838048354,1.2324368430419,1.62382728219975,1.89638186143981,2.16302141668371,2.54269902410545,3.48478728237767,"Forecast",2022-12-25
2023-01-20,0.83436596906562,1.23832944960061,1.51382596957747,1.71029393848295,1.94715264804351,2.05028964216074,2.35773339074917,"Forecast",2022-12-25
2023-01-21,1.11823381852967,1.27244305441896,1.55517909832419,1.78859896755986,2.04718285227932,2.26292807107535,2.75103824136662,"Forecast",2022-12-25
2023-01-22,1.08419074424568,1.21018837004431,1.57068477992637,1.79453452101457,2.02792840753308,2.25455852473374,2.83730668034687,"Forecast",2022-12-25
